Kanji Frequency Count,Unique Word Count,Kanji,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6
2506938,250,人,人,人間,夫人,人々,犯人,主人
2027350,247,一,一,一つ,一緒,一番,一瞬,一方
1576679,192,見,見る,見える,見せる,見つめる,発見,見つける
1451772,93,言,言う,言葉,言える,言,一言,無言
1386317,242,出,出る,出す,出来る,思い出す,出かける,取り出す
1234655,430,子,子,子供,様子,椅子,息子,女の子
1162736,76,思,思う,思い出す,思える,思い,不思議,思わず
1156126,265,大,大,大きな,大きい,大丈夫,大変,大学
1101214,11,彼,彼,彼女,彼ら,彼等,彼方,彼女ら
1097709,217,手,手,相手,手紙,両手,勝手,右手
1093479,86,分,自分,分,分かる,気分,部分,分る
1087504,71,女,彼女,女,女性,少女,女の子,女房
1068960,189,気,気,気づく,気持ち,気持,気分,気がつく
1065323,156,中,中,連中,背中,途中,中央,中心
1016683,206,上,上,以上,上げる,上がる,立ち上がる,上る
998531,106,間,人間,時間,間,瞬間,仲間,間違い
964127,126,日,日,日本,今日,明日,昨日,毎日
927853,85,自,自分,自身,自然,自由,自ら,自信
914870,40,二,二,二つ,二度と,二月,十二月,悠二
886050,125,行,行く,行う,行動,行,旅行,行為
865674,44,何,何,何とか,何事,何故,何者,何処
864568,64,時,時,時間,時代,同時に,当時,時計
825576,79,事,事,仕事,事件,事実,刑事,返事
823411,14,私,私,私立,私服,私的,私室,私生活
803706,99,前,前,お前,名前,以前,午前,手前
800670,166,生,先生,生きる,生活,生まれる,生,人生
725662,47,来,来る,出来る,以来,やって来る,本来,未来
715987,83,方,方,一方,方法,仕方,方向,地方
686211,141,下,下,下さる,下げる,下げ,廊下,地下
684890,20,十,十,十分,十津川,十月,十一月,十二月
679623,136,本,本,日本,本当に,本当,日本人,本人
675043,123,目,目,目的,駄目,目立つ,度目,目撃
661156,74,者,者,医者,若者,患者,記者,学者
643634,78,三,三,三つ,三月,三郎,三浦,三島
634498,44,話,話,電話,話す,会話,お話,話しかける
617625,82,年,年,少年,青年,年間,年齢,今年
617525,70,知,知る,知れる,承知,知識,知らせる,知り合い
596668,131,入,入る,入れる,入口,気に入る,入り,出入り
579689,82,部,部屋,部,部分,全部,警部,部隊
568091,91,家,家,家族,家庭,作家,国家,家康
567369,147,立,立つ,立てる,立ち上がる,立派,立場,立ちあがる
556585,41,今,今,今日,今度,今夜,今回,今朝
544254,35,男,男,男性,男の子,男女,男子,男爵
539459,99,心,心,心配,安心,中心,心臓,関心
530217,29,顔,顔,笑顔,顔色,顔つき,横顔,顔面
518868,72,後,後,最後,その後,午後,後ろ,背後
504864,83,体,体,身体,死体,全体,一体,肉体
500192,137,長,長い,長,社長,信長,部長,課長
499073,162,小,小さな,小,小さい,小説,小屋,小学校
474657,142,物,物,人物,建物,動物,物語,荷物
471871,42,声,声,大声,笑い声,小声,叫び声,銃声
462939,169,合,場合,合う,合わせる,具合,試合,都合
453374,110,地,地,土地,地面,地球,地方,地上
444264,35,的,的,目的,徹底的,圧倒的,決定的,比較的
444197,76,場,場所,場,場合,立場,現場,工場
444050,38,聞,聞く,聞こえる,新聞,聞える,聞かす,言い聞かせる
442276,84,身,身,自身,身体,全身,身分,中身
439411,102,口,口,口調,入口,戸口,入り口,出口
439100,58,持,持つ,気持ち,気持,持ち出す,持ち主,持ち上げる
436135,59,会,会う,会,会社,社会,会話,機会
434229,66,屋,部屋,屋,屋敷,小屋,屋根,屋上
432012,50,度,度,今度,態度,もう一度,程度,一度
431254,68,意,意味,意識,用意,意見,注意,意外
428036,75,当,本当に,当然,当時,本当,相当,当たる
420104,63,同,同じ,同時に,同様,一同,同,同士
419025,48,感,感じる,感じ,感,感情,感覚,感謝
408575,80,先,先生,先,先輩,指先,先頭,先日
396458,70,動,動く,行動,動かす,動き,動物,運動
390355,27,少,少し,少女,少年,少ない,少なくとも,もう少し
381180,21,考,考える,考え,思考,考え方,参考,考え込む
379978,88,明,説明,明日,明るい,明らか,明治,明
373960,79,通,通り,通る,普通,通す,通じる,通う
372862,88,力,力,能力,努力,協力,魅力,権力
368004,56,向,向かう,向ける,向う,向こう,向く,方向
361250,121,不,不思議,不安,不,不幸,不可能,不意
360319,65,実,事実,実際,実は,現実,実,実に
354897,67,理,理由,理解,無理,料理,管理,心理
347279,52,死,死ぬ,死,死体,必死,死者,死亡
346127,116,無,無理,無,無い,無事,無視,無言
343367,24,五,五,五月,五郎,五つ,五教,五十嵐
335856,108,国,国,外国,中国,国家,帝国,国民
332878,80,所,所,場所,台所,事務所,近所,住所
331771,87,名,名,名前,有名,名乗る,名誉,大名
331375,185,田,金田一,田舎,田中,田,吉田,武田
329981,90,神,神,精神,神経,神社,神様,神父
328233,44,笑,笑う,笑い,微笑,笑顔,笑み,苦笑
322145,85,面,面,面白い,地面,正面,面倒,表面
317603,77,学,学校,大学,学生,学,文学,科学
315109,159,山,山,山本,沢山,秋山,山口,山田
311987,28,四,四,四月,四つ,四方,四郎,平四郎
311586,65,外,外,以外,意外,外国,外す,外出
304929,114,取,取る,取り出す,受け取る,取り戻す,取材,取り上げる
303671,84,書,書く,書,書類,秘書,書物,書斎
301589,51,近,近く,近づく,近い,最近,近所,付近
